state,date,population,metodology,count,rate
CHIHUAHUA,2004-01,3196610,vieja,32,12.01272598
CIUDAD DE MÉXICO,2004-01,8982591,vieja,64,8.549871635
NUEVO LEÓN,2004-01,4223690,vieja,10,2.841117601
OAXACA,2004-01,3729320,vieja,92,29.60325207
PUEBLA,2004-01,5466264,vieja,27,5.927265862
QUERÉTARO,2004-01,1653944,vieja,5,3.627692352
TAMAULIPAS,2004-01,3000009,vieja,18,7.1999784
TLAXCALA,2004-01,1074606,vieja,33,36.85071552
VERACRUZ,2004-01,7356083,vieja,28,4.567648299
YUCATÁN,2004-01,1812410,vieja,2,1.324203685
QUINTANA ROO,2004-01,1078060,vieja,14,15.58354823
SAN LUIS POTOSÍ,2004-01,2454008,vieja,23,11.2469071
SINALOA,2004-01,2648882,vieja,59,26.72825743
SONORA,2004-01,2442062,vieja,12,5.896656186
TABASCO,2004-01,2079829,vieja,6,3.461823063
AGUASCALIENTES,2004-01,1072496,vieja,1,1.118885292
BAJA CALIFORNIA,2004-01,2816765,vieja,28,11.92857764
BAJA CALIFORNIA SUR,2004-01,521919,vieja,1,2.299207348
CAMPECHE,2004-01,748993,vieja,4,6.40860462
COAHUILA,2004-01,2534397,vieja,9,4.261368681
ZACATECAS,2004-01,1432191,vieja,4,3.351508283
JALISCO,2004-02,6799731,vieja,26,4.588416806
MÉXICO,2004-02,13893224,vieja,211,18.22471156
MICHOACÁN,2004-02,4217952,vieja,45,12.80242165
MORELOS,2004-02,1658721,vieja,9,6.511040736
NAYARIT,2004-02,978989,vieja,6,7.354525945
DURANGO,2004-02,1547887,vieja,6,4.651502338
GUANAJUATO,2004-02,5270967,vieja,13,2.95960874
GUERRERO,2004-02,3286500,vieja,44,16.06572341
HIDALGO,2004-02,2472409,vieja,10,4.853565895
COLIMA,2004-02,581238,vieja,2,4.129117504
CHIAPAS,2004-02,4450146,vieja,70,18.8757852
CHIHUAHUA,2004-02,3201061,vieja,30,11.24627116
CIUDAD DE MÉXICO,2004-02,8982645,vieja,70,9.351365884
NUEVO LEÓN,2004-02,4229893,vieja,9,2.553256075
OAXACA,2004-02,3731231,vieja,100,32.16096779
PUEBLA,2004-02,5471707,vieja,24,5.263439727
QUERÉTARO,2004-02,1656427,vieja,4,2.897803525
TAMAULIPAS,2004-02,3004499,vieja,21,8.387421663
TLAXCALA,2004-02,1076180,vieja,27,30.10648776
VERACRUZ,2004-02,7359345,vieja,56,9.131247414
YUCATÁN,2004-02,1814565,vieja,2,1.322631044
QUINTANA ROO,2004-02,1081405,vieja,10,11.09667516
SAN LUIS POTOSÍ,2004-02,2455293,vieja,22,10.75228089
SINALOA,2004-02,2651131,vieja,34,15.38965823
SONORA,2004-02,2445710,vieja,28,13.73834183
TABASCO,2004-02,2082276,vieja,8,4.61033984
AGUASCALIENTES,2004-02,1073959,vieja,0,0
BAJA CALIFORNIA,2004-02,2822599,vieja,42,17.85588389
BAJA CALIFORNIA SUR,2004-02,523360,vieja,3,6.878630388
CAMPECHE,2004-02,750119,vieja,1,1.599746174
COAHUILA,2004-02,2537559,vieja,5,2.364477043
ZACATECAS,2004-02,1432280,vieja,1,0.837825006
JALISCO,2004-03,6805587,vieja,41,7.229354353
MÉXICO,2004-03,13914438,vieja,245,21.1291322
MICHOACÁN,2004-03,4218687,vieja,46,13.08463984
MORELOS,2004-03,1660007,vieja,22,15.90354739
NAYARIT,2004-03,979990,vieja,10,12.24502291
DURANGO,2004-03,1548841,vieja,6,4.648637271
GUANAJUATO,2004-03,5273865,vieja,22,5.005816417
GUERRERO,2004-03,3287738,vieja,39,14.23471092
HIDALGO,2004-03,2474413,vieja,10,4.849635045
COAHUILA,2004-03,2540721,vieja,17,8.029216903
COLIMA,2004-03,581966,vieja,3,6.185928388
CHIAPAS,2004-03,4456756,vieja,83,22.34809355
CHIHUAHUA,2004-03,3205512,vieja,44,16.47162762
CIUDAD DE MÉXICO,2004-03,8982698,vieja,68,9.084130403
NUEVO LEÓN,2004-03,4236096,vieja,12,3.399356389
OAXACA,2004-03,3733142,vieja,96,30.85872437
PUEBLA,2004-03,5477151,vieja,28,6.134576169
QUERÉTARO,2004-03,1658911,vieja,8,5.786928895
TAMAULIPAS,2004-03,3008989,vieja,16,6.380880754
TLAXCALA,2004-03,1077753,vieja,34,37.85654041
VERACRUZ,2004-03,7362607,vieja,40,6.51942987
YUCATÁN,2004-03,1816720,vieja,1,0.660531067
QUINTANA ROO,2004-03,1084751,vieja,16,17.69991454
SAN LUIS POTOSÍ,2004-03,2456578,vieja,26,12.70059408
SINALOA,2004-03,2653380,vieja,41,18.54238745
SONORA,2004-03,2449358,vieja,16,7.838788776
TABASCO,2004-03,2084723,vieja,12,6.907392493
AGUASCALIENTES,2004-03,1075423,vieja,0,0
BAJA CALIFORNIA,2004-03,2828434,vieja,38,16.12199542
BAJA CALIFORNIA SUR,2004-03,524801,vieja,1,2.286581009
CAMPECHE,2004-03,751245,vieja,4,6.389393607
ZACATECAS,2004-03,1432368,vieja,7,5.864414731
JALISCO,2004-04,6811443,vieja,34,5.989920198
MÉXICO,2004-04,13935652,vieja,275,23.68026986
MICHOACÁN,2004-04,4219421,vieja,38,10.80716999
MORELOS,2004-04,1661294,vieja,17,12.27958447
NAYARIT,2004-04,980990,vieja,6,7.339524358
DURANGO,2004-04,1549795,vieja,2,1.548591911
GUANAJUATO,2004-04,5276764,vieja,16,3.638593653
GUERRERO,2004-04,3288976,vieja,44,16.05362885
HIDALGO,2004-04,2476417,vieja,17,8.237707947
COAHUILA,2004-04,2543884,vieja,6,2.830317735
COLIMA,2004-04,582694,vieja,2,4.118799919
CHIAPAS,2004-04,4463366,vieja,80,21.50843108
CHIHUAHUA,2004-04,3209963,vieja,43,16.07495164
CIUDAD DE MÉXICO,2004-04,8982752,vieja,47,6.278699445
NUEVO LEÓN,2004-04,4242300,vieja,9,2.545788841
OAXACA,2004-04,3735052,vieja,109,35.01959277
PUEBLA,2004-04,5482595,vieja,49,10.72484836
QUERÉTARO,2004-04,1661394,vieja,5,3.611425104
TABASCO,2004-04,2087170,vieja,7,4.024588318
TAMAULIPAS,2004-04,3013478,vieja,21,8.362430388
TLAXCALA,2004-04,1079326,vieja,21,23.34790416
VERACRUZ,2004-04,7365869,vieja,35,5.701974879
YUCATÁN,2004-04,1818876,vieja,0,0
QUINTANA ROO,2004-04,1088096,vieja,10,11.02843867
SAN LUIS POTOSÍ,2004-04,2457864,vieja,9,4.394059232
SINALOA,2004-04,2655628,vieja,42,18.97856176
SONORA,2004-04,2453006,vieja,19,9.294718399
AGUASCALIENTES,2004-04,1076887,vieja,3,3.342969132
BAJA CALIFORNIA,2004-04,2834268,vieja,25,10.58474357
BAJA CALIFORNIA SUR,2004-04,526242,vieja,4,9.121278803
CAMPECHE,2004-04,752370,vieja,3,4.78487978
ZACATECAS,2004-04,1432457,vieja,4,3.350885925
JALISCO,2004-05,6817299,vieja,26,4.576592577
MÉXICO,2004-05,13956866,vieja,246,21.15088015
MICHOACÁN,2004-05,4220156,vieja,35,9.952238732
MORELOS,2004-05,1662580,vieja,20,14.43539559
NAYARIT,2004-05,981991,vieja,11,13.44207839
DURANGO,2004-05,1550749,vieja,2,1.547639238
GUANAJUATO,2004-05,5279662,vieja,11,2.500160048
GUERRERO,2004-05,3290214,vieja,37,13.49456297
HIDALGO,2004-05,2478420,vieja,12,5.810153243
COAHUILA,2004-05,2547046,vieja,8,3.769072094
COLIMA,2004-05,583423,vieja,4,8.227306774
CHIAPAS,2004-05,4469976,vieja,82,22.01354101
CHIHUAHUA,2004-05,3214414,vieja,39,14.55941892
CIUDAD DE MÉXICO,2004-05,8982806,vieja,62,8.282489903
NUEVO LEÓN,2004-05,4248503,vieja,7,1.977167016
OAXACA,2004-05,3736963,vieja,130,41.74512833
PUEBLA,2004-05,5488038,vieja,41,8.964952502
QUERÉTARO,2004-05,1663878,vieja,5,3.606033615
TABASCO,2004-05,2089617,vieja,19,10.91109041
TAMAULIPAS,2004-05,3017968,vieja,24,9.542844722
TLAXCALA,2004-05,1080900,vieja,20,22.20371912
VERACRUZ,2004-05,7369131,vieja,38,6.187975217
YUCATÁN,2004-05,1821031,vieja,4,2.635869461
QUINTANA ROO,2004-05,1091442,vieja,11,12.09409204
SAN LUIS POTOSÍ,2004-05,2459150,vieja,8,3.903787894
SINALOA,2004-05,2657876,vieja,40,18.05953325
SONORA,2004-05,2456654,vieja,22,10.74632407
AGUASCALIENTES,2004-05,1078350,vieja,0,0
BAJA CALIFORNIA,2004-05,2840102,vieja,38,16.05576138
BAJA CALIFORNIA SUR,2004-05,527683,vieja,4,9.096370359
CAMPECHE,2004-05,753496,vieja,5,7.962882351
ZACATECAS,2004-05,1432546,vieja,2,1.675338872
JALISCO,2004-06,6823155,vieja,30,5.276151575
MÉXICO,2004-06,13978080,vieja,212,18.19992445
MICHOACÁN,2004-06,4220890,vieja,40,11.37200922
MORELOS,2004-06,1663867,vieja,20,14.42422982
NAYARIT,2004-06,982991,vieja,17,20.75298757
DURANGO,2004-06,1551703,vieja,5,3.86671934
GUANAJUATO,2004-06,5282560,vieja,17,3.861763993
GUERRERO,2004-06,3291452,vieja,34,12.3957451
HIDALGO,2004-06,2480424,vieja,7,3.386517789
COAHUILA,2004-06,2550208,vieja,4,1.882199413
COLIMA,2004-06,584151,vieja,4,8.217053467
CHIAPAS,2004-06,4476586,vieja,77,20.64072934
CHIHUAHUA,2004-06,3218865,vieja,39,14.53928636
CIUDAD DE MÉXICO,2004-06,8982860,vieja,63,8.416027857
NUEVO LEÓN,2004-06,4254706,vieja,12,3.384487671
OAXACA,2004-06,3738874,vieja,151,48.46378883
PUEBLA,2004-06,5493482,vieja,55,12.01423796
QUERÉTARO,2004-06,1666361,vieja,4,2.880528289
TABASCO,2004-06,2092064,vieja,6,3.441577313
TAMAULIPAS,2004-06,3022458,vieja,25,9.925696238
TLAXCALA,2004-06,1082473,vieja,16,17.73716296
VERACRUZ,2004-06,7372393,vieja,33,5.371390266
YUCATÁN,2004-06,1823186,vieja,5,3.290942339
QUINTANA ROO,2004-06,1094787,vieja,11,12.05713988
SAN LUIS POTOSÍ,2004-06,2460435,vieja,16,7.803498162
SINALOA,2004-06,2660125,vieja,52,23.45754429
SONORA,2004-06,2460302,vieja,23,11.21813501
AGUASCALIENTES,2004-06,1079814,vieja,2,2.222605004
BAJA CALIFORNIA,2004-06,2845936,vieja,50,21.08269476
BAJA CALIFORNIA SUR,2004-06,529124,vieja,1,2.267899396
CAMPECHE,2004-06,754622,vieja,3,4.77060038
ZACATECAS,2004-06,1432635,vieja,5,4.188086987
JALISCO,2004-07,6829851,vieja,24,4.21678306
MÉXICO,2004-07,13999366,vieja,239,20.48664204
MICHOACÁN,2004-07,4221976,vieja,32,9.09526724
MORELOS,2004-07,1665375,vieja,21,15.13172709
DURANGO,2004-07,1552913,vieja,5,3.863706466
GUANAJUATO,2004-07,5284648,vieja,21,4.768529522
GUERRERO,2004-07,3292693,vieja,51,18.58660981
HIDALGO,2004-07,2482430,vieja,4,1.933589265
COAHUILA,2004-07,2553317,vieja,9,4.22979207
COLIMA,2004-07,584957,vieja,2,4.102865681
CHIAPAS,2004-07,4482623,vieja,61,16.32972481
CHIHUAHUA,2004-07,3223152,vieja,37,13.77533545
CIUDAD DE MÉXICO,2004-07,8982656,vieja,54,7.213901991
NAYARIT,2004-07,984207,vieja,4,4.877022821
NUEVO LEÓN,2004-07,4261021,vieja,11,3.097849084
OAXACA,2004-07,3739764,vieja,52,16.68554486
PUEBLA,2004-07,5497830,vieja,48,10.47686087
QUERÉTARO,2004-07,1668525,vieja,3,2.157594282
TABASCO,2004-07,2094420,vieja,7,4.010656888
TAMAULIPAS,2004-07,3026862,vieja,13,5.153852406
TLAXCALA,2004-07,1083822,vieja,14,15.5007003
VERACRUZ,2004-07,7375521,vieja,34,5.5318126
YUCATÁN,2004-07,1825261,vieja,4,2.629760894
QUINTANA ROO,2004-07,1098078,vieja,12,13.11382252
SAN LUIS POTOSÍ,2004-07,2461872,vieja,24,11.69841486
SINALOA,2004-07,2662544,vieja,32,14.42229687
SONORA,2004-07,2463748,vieja,21,10.22831881
AGUASCALIENTES,2004-07,1081224,vieja,1,1.109853277
BAJA CALIFORNIA,2004-07,2851498,vieja,37,15.57076316
BAJA CALIFORNIA SUR,2004-07,530595,vieja,3,6.784835892
CAMPECHE,2004-07,755745,vieja,4,6.351348669
ZACATECAS,2004-07,1433026,vieja,8,6.699110833
JALISCO,2004-08,6836547,vieja,29,5.090289001
MÉXICO,2004-08,14020652,vieja,242,20.71230354
MICHOACÁN,2004-08,4223061,vieja,36,10.22954677
MORELOS,2004-08,1666883,vieja,17,12.23841145
DURANGO,2004-08,1554124,vieja,18,13.89850488
GUANAJUATO,2004-08,5286737,vieja,14,3.177763524
GUERRERO,2004-08,3293934,vieja,40,14.57224097
HIDALGO,2004-08,2484435,vieja,5,2.415036014
COAHUILA,2004-08,2556426,vieja,10,4.694053339
COLIMA,2004-08,585764,vieja,3,6.145819818
CHIAPAS,2004-08,4488661,vieja,55,14.70371677
CHIHUAHUA,2004-08,3227439,vieja,41,15.24428502
CIUDAD DE MÉXICO,2004-08,8982452,vieja,51,6.81328439
NAYARIT,2004-08,985423,vieja,6,7.306506952
NUEVO LEÓN,2004-08,4267336,vieja,8,2.249647087
OAXACA,2004-08,3740655,vieja,56,17.9647682
PUEBLA,2004-08,5502179,vieja,46,10.03238899
QUERÉTARO,2004-08,1670690,vieja,4,2.873064422
TABASCO,2004-08,2096775,vieja,15,8.584612083
TAMAULIPAS,2004-08,3031266,vieja,25,9.896854977
TLAXCALA,2004-08,1085171,vieja,30,33.17449508
VERACRUZ,2004-08,7378649,vieja,40,6.505255908
YUCATÁN,2004-08,1827336,vieja,1,0.656693679
QUINTANA ROO,2004-08,1101370,vieja,10,10.89552103
SAN LUIS POTOSÍ,2004-08,2463308,vieja,13,6.332947402
SINALOA,2004-08,2664964,vieja,54,24.31552546
SONORA,2004-08,2467194,vieja,12,5.83659007
AGUASCALIENTES,2004-08,1082634,vieja,2,2.216815655
BAJA CALIFORNIA,2004-08,2857059,vieja,29,12.18035749
BAJA CALIFORNIA SUR,2004-08,532066,vieja,4,9.02143719
CAMPECHE,2004-08,756868,vieja,1,1.58548122
ZACATECAS,2004-08,1433418,vieja,5,4.185799257
JALISCO,2004-09,6843243,vieja,25,4.383886412
MÉXICO,2004-09,14041938,vieja,215,18.3735322
MICHOACÁN,2004-09,4224147,vieja,29,8.23834966
MORELOS,2004-09,1668392,vieja,24,17.26213024
CIUDAD DE MÉXICO,2004-09,8982249,vieja,58,7.748616187
DURANGO,2004-09,1555334,vieja,11,8.486923066
GUANAJUATO,2004-09,5288825,vieja,12,2.722721966
GUERRERO,2004-09,3295176,vieja,48,17.48009818
HIDALGO,2004-09,2486440,vieja,13,6.274030341
COAHUILA,2004-09,2559536,vieja,11,5.15718474
COLIMA,2004-09,586570,vieja,4,8.183166544
CHIAPAS,2004-09,4494698,vieja,61,16.28585502
CHIHUAHUA,2004-09,3231726,vieja,35,12.99615128
NAYARIT,2004-09,986638,vieja,13,15.81127019
NUEVO LEÓN,2004-09,4273651,vieja,12,3.369484312
OAXACA,2004-09,3741546,vieja,30,9.621691141
PUEBLA,2004-09,5506528,vieja,46,10.02446551
QUERÉTARO,2004-09,1672854,vieja,5,3.586684791
TABASCO,2004-09,2099131,vieja,13,7.431646715
TAMAULIPAS,2004-09,3035669,vieja,12,4.743600175
TLAXCALA,2004-09,1086520,vieja,8,8.835548356
VERACRUZ,2004-09,7381777,vieja,40,6.50249933
YUCATÁN,2004-09,1829411,vieja,3,1.967846482
QUINTANA ROO,2004-09,1104661,vieja,9,9.776755041
SAN LUIS POTOSÍ,2004-09,2464745,vieja,18,8.763584062
SINALOA,2004-09,2667383,vieja,42,18.89492435
SONORA,2004-09,2470640,vieja,23,11.17119451
AGUASCALIENTES,2004-09,1084044,vieja,1,1.106966138
BAJA CALIFORNIA,2004-09,2862620,vieja,45,18.86383802
BAJA CALIFORNIA SUR,2004-09,533537,vieja,6,13.49484666
CAMPECHE,2004-09,757991,vieja,6,9.498793521
ZACATECAS,2004-09,1433809,vieja,0,0
JALISCO,2004-10,6849939,vieja,46,8.058465922
MÉXICO,2004-10,14063225,vieja,212,18.08973404
MICHOACÁN,2004-10,4225232,vieja,39,11.07631486
MORELOS,2004-10,1669900,vieja,13,9.341876759
CIUDAD DE MÉXICO,2004-10,8982045,vieja,52,6.947192983
DURANGO,2004-10,1556545,vieja,22,16.96064039
GUANAJUATO,2004-10,5290913,vieja,15,3.402059342
GUERRERO,2004-10,3296417,vieja,62,22.56996005
HIDALGO,2004-10,2488446,vieja,15,7.23343002
COAHUILA,2004-10,2562645,vieja,11,5.150928045
COLIMA,2004-10,587376,vieja,5,10.21492196
CHIAPAS,2004-10,4500735,vieja,58,15.46414086
CHIHUAHUA,2004-10,3236013,vieja,29,10.7539741
NAYARIT,2004-10,987854,vieja,8,9.718035256
NUEVO LEÓN,2004-10,4279966,vieja,7,1.962632413
OAXACA,2004-10,3742436,vieja,133,42.64601987
PUEBLA,2004-10,5510876,vieja,32,6.968039201
QUERÉTARO,2004-10,1675019,vieja,6,4.298458704
TABASCO,2004-10,2101486,vieja,9,5.139220533
TAMAULIPAS,2004-10,3040073,vieja,24,9.473456723
TLAXCALA,2004-10,1087869,vieja,20,22.06147983
VERACRUZ,2004-10,7384905,vieja,36,5.849770579
QUINTANA ROO,2004-10,1107953,vieja,13,14.08001964
SAN LUIS POTOSÍ,2004-10,2466182,vieja,14,6.812149306
SINALOA,2004-10,2669803,vieja,39,17.52938325
SONORA,2004-10,2474086,vieja,16,7.760441634
AGUASCALIENTES,2004-10,1085455,vieja,2,2.21105435
BAJA CALIFORNIA,2004-10,2868182,vieja,51,21.33755808
BAJA CALIFORNIA SUR,2004-10,535008,vieja,2,4.485914229
CAMPECHE,2004-10,759114,vieja,3,4.742370711
YUCATÁN,2004-10,1831486,vieja,1,0.655205664
ZACATECAS,2004-10,1434200,vieja,7,5.856923721
JALISCO,2004-11,6856635,vieja,28,4.900362933
MÉXICO,2004-11,14084511,vieja,242,20.61839421
MICHOACÁN,2004-11,4226318,vieja,40,11.35740377
MORELOS,2004-11,1671408,vieja,25,17.94893886
CIUDAD DE MÉXICO,2004-11,8981841,vieja,63,8.416982665
DURANGO,2004-11,1557755,vieja,18,13.8661086
GUANAJUATO,2004-11,5293002,vieja,16,3.627431087
GUERRERO,2004-11,3297658,vieja,58,21.10588788
HIDALGO,2004-11,2490452,vieja,10,4.818402443
COAHUILA,2004-11,2565754,vieja,6,2.806192644
COLIMA,2004-11,588183,vieja,4,8.160725488
CHIAPAS,2004-11,4506773,vieja,58,15.4434226
CHIHUAHUA,2004-11,3240300,vieja,31,11.48041848
NAYARIT,2004-11,989070,vieja,3,3.639782826
NUEVO LEÓN,2004-11,4286281,vieja,11,3.079592775
OAXACA,2004-11,3743326,vieja,99,31.73648248
PUEBLA,2004-11,5515224,vieja,41,8.920761877
QUERÉTARO,2004-11,1677183,vieja,7,5.00839801
TABASCO,2004-11,2103842,vieja,9,5.133465346
TAMAULIPAS,2004-11,3044477,vieja,15,5.912345536
TLAXCALA,2004-11,1089218,vieja,17,18.72903312
VERACRUZ,2004-11,7388033,vieja,42,6.821842837
QUINTANA ROO,2004-11,1111244,vieja,13,14.03832102
SAN LUIS POTOSÍ,2004-11,2467618,vieja,13,6.321886127
SINALOA,2004-11,2672222,vieja,35,15.71725702
SONORA,2004-11,2477532,vieja,22,10.6557655
AGUASCALIENTES,2004-11,1086865,vieja,3,3.312278894
BAJA CALIFORNIA,2004-11,2873744,vieja,46,19.20839156
BAJA CALIFORNIA SUR,2004-11,536479,vieja,2,4.473614065
CAMPECHE,2004-11,760237,vieja,1,1.57845514
YUCATÁN,2004-11,1833561,vieja,2,1.308928364
ZACATECAS,2004-11,1434591,vieja,4,3.345901375
JALISCO,2004-12,6863332,vieja,30,5.245265711
MÉXICO,2004-12,14105797,vieja,295,25.09606511
MICHOACÁN,2004-12,4227404,vieja,28,7.948140277
MORELOS,2004-12,1672916,vieja,15,10.7596556
CIUDAD DE MÉXICO,2004-12,8981638,vieja,58,7.749143308
DURANGO,2004-12,1558966,vieja,17,13.08559648
GUANAJUATO,2004-12,5295090,vieja,18,4.079250778
GUERRERO,2004-12,3298900,vieja,45,16.36909273
HIDALGO,2004-12,2492457,vieja,7,3.370168472
COAHUILA,2004-12,2568863,vieja,7,3.269929148
COLIMA,2004-12,588989,vieja,5,10.18694746
CHIAPAS,2004-12,4512810,vieja,39,10.3704787
CHIHUAHUA,2004-12,3244587,vieja,44,16.27325758
NAYARIT,2004-12,990286,vieja,12,14.54125374
NUEVO LEÓN,2004-12,4292596,vieja,9,2.515960039
OAXACA,2004-12,3744217,vieja,82,26.28052808
PUEBLA,2004-12,5519573,vieja,31,6.739651781
QUERÉTARO,2004-12,1679348,vieja,6,4.287378197
TABASCO,2004-12,2106198,vieja,9,5.127723035
TAMAULIPAS,2004-12,3048880,vieja,11,4.329458686
TLAXCALA,2004-12,1090566,vieja,20,22.00692118
VERACRUZ,2004-12,7391162,vieja,43,6.981310922
QUINTANA ROO,2004-12,1114536,vieja,9,9.69013114
SAN LUIS POTOSÍ,2004-12,2469055,vieja,13,6.318206763
SINALOA,2004-12,2674642,vieja,45,20.1896179
SONORA,2004-12,2480978,vieja,36,17.41248814
AGUASCALIENTES,2004-12,1088275,vieja,2,2.205324941
BAJA CALIFORNIA,2004-12,2879305,vieja,41,17.08745687
BAJA CALIFORNIA SUR,2004-12,537950,vieja,5,11.15345292
CAMPECHE,2004-12,761360,vieja,2,3.152253862
YUCATÁN,2004-12,1835636,vieja,5,3.268621884
ZACATECAS,2004-12,1434982,vieja,8,6.689979387
MÉXICO,2005-01,14127083,vieja,234,19.87671482
MICHOACÁN,2005-01,4228489,vieja,33,9.36504742
MORELOS,2005-01,1674424,vieja,14,10.033301
NAYARIT,2005-01,991502,vieja,8,9.682280016
DURANGO,2005-01,1560176,vieja,11,8.460583934
GUANAJUATO,2005-01,5297178,vieja,7,1.585749997
GUERRERO,2005-01,3300141,vieja,54,19.63552466
HIDALGO,2005-01,2494462,vieja,12,5.77278788
JALISCO,2005-01,6870028,vieja,25,4.366794429
COLIMA,2005-01,589795,vieja,1,2.034605244
CHIAPAS,2005-01,4518847,vieja,33,8.763297363
CHIHUAHUA,2005-01,3248874,vieja,46,16.99050194
CIUDAD DE MÉXICO,2005-01,8981434,vieja,52,6.947665595
NUEVO LEÓN,2005-01,4298911,vieja,7,1.95398323
OAXACA,2005-01,3745108,vieja,104,33.32347158
PUEBLA,2005-01,5523922,vieja,46,9.992899972
QUERÉTARO,2005-01,1681512,vieja,6,4.281860611
TAMAULIPAS,2005-01,3053284,vieja,34,13.36266132
TLAXCALA,2005-01,1091915,vieja,30,32.96959928
VERACRUZ,2005-01,7394290,vieja,31,5.030908985
YUCATÁN,2005-01,1837712,vieja,1,0.652985887
QUINTANA ROO,2005-01,1117827,vieja,7,7.514579626
SAN LUIS POTOSÍ,2005-01,2470492,vieja,15,7.285998093
SINALOA,2005-01,2677061,vieja,46,20.61962727
SONORA,2005-01,2484423,vieja,19,9.17718118
TABASCO,2005-01,2108553,vieja,4,2.27644266
AGUASCALIENTES,2005-01,1089685,vieja,2,2.202471356
BAJA CALIFORNIA,2005-01,2884866,vieja,53,22.04608464
BAJA CALIFORNIA SUR,2005-01,539421,vieja,3,6.673822487
CAMPECHE,2005-01,762482,vieja,2,3.147615288
COAHUILA,2005-01,2571972,vieja,9,4.199112588
ZACATECAS,2005-01,1435374,vieja,3,2.508057134
JALISCO,2005-02,6876724,vieja,26,4.537044093
MÉXICO,2005-02,14148369,vieja,192,16.28456255
MICHOACÁN,2005-02,4229575,vieja,37,10.49750861
MORELOS,2005-02,1675932,vieja,13,9.308253557
NAYARIT,2005-02,992718,vieja,5,6.044012499
DURANGO,2005-02,1561386,vieja,16,12.2967671
GUANAJUATO,2005-02,5299267,vieja,17,3.849589009
GUERRERO,2005-02,3301382,vieja,48,17.44723876
HIDALGO,2005-02,2496468,vieja,8,3.845432827
COLIMA,2005-02,590602,vieja,5,10.15912577
CHIAPAS,2005-02,4524885,vieja,32,8.486403522
CHIHUAHUA,2005-02,3253161,vieja,37,13.64826395
CIUDAD DE MÉXICO,2005-02,8981230,vieja,44,5.878927497
NUEVO LEÓN,2005-02,4305226,vieja,11,3.066041132
OAXACA,2005-02,3745998,vieja,125,40.04273361
PUEBLA,2005-02,5528270,vieja,28,6.077850756
QUERÉTARO,2005-02,1683676,vieja,2,1.425452403
TAMAULIPAS,2005-02,3057688,vieja,24,9.418881194
TLAXCALA,2005-02,1093264,vieja,23,25.24550337
VERACRUZ,2005-02,7397418,vieja,56,9.084250748
YUCATÁN,2005-02,1839787,vieja,3,1.956748254
QUINTANA ROO,2005-02,1121118,vieja,10,10.70360123
SAN LUIS POTOSÍ,2005-02,2471928,vieja,15,7.281765488
SINALOA,2005-02,2679480,vieja,54,24.18379686
SONORA,2005-02,2487869,vieja,14,6.752767127
TABASCO,2005-02,2110909,vieja,8,4.547803813
AGUASCALIENTES,2005-02,1091095,vieja,0,0
BAJA CALIFORNIA,2005-02,2890428,vieja,45,18.68235431
BAJA CALIFORNIA SUR,2005-02,540892,vieja,4,8.874229976
CAMPECHE,2005-02,763605,vieja,5,7.857465574
COAHUILA,2005-02,2575081,vieja,10,4.660047587
ZACATECAS,2005-02,1435765,vieja,4,3.34316549
JALISCO,2005-03,6883420,vieja,32,5.578622255
MÉXICO,2005-03,14169656,vieja,212,17.95385858
MICHOACÁN,2005-03,4230660,vieja,40,11.34574747
MORELOS,2005-03,1677440,vieja,11,7.869133918
NAYARIT,2005-03,993934,vieja,5,6.036618126
DURANGO,2005-03,1562597,vieja,18,13.82314186
GUANAJUATO,2005-03,5301355,vieja,24,5.43257337
GUERRERO,2005-03,3302623,vieja,28,10.17373161
HIDALGO,2005-03,2498474,vieja,8,3.842345368
COAHUILA,2005-03,2578190,vieja,5,2.327214053
COLIMA,2005-03,591408,vieja,1,2.029056083
CHIAPAS,2005-03,4530922,vieja,29,7.680555966
CHIHUAHUA,2005-03,3257448,vieja,52,19.15610011
CIUDAD DE MÉXICO,2005-03,8981026,vieja,49,6.547136151
NUEVO LEÓN,2005-03,4311541,vieja,11,3.061550383
OAXACA,2005-03,3746888,vieja,128,40.99401957
PUEBLA,2005-03,5532618,vieja,22,4.771701209
QUERÉTARO,2005-03,1685841,vieja,5,3.559054502
TAMAULIPAS,2005-03,3062092,vieja,30,11.75666832
TLAXCALA,2005-03,1094613,vieja,39,42.75483664
VERACRUZ,2005-03,7400546,vieja,54,8.756110698
YUCATÁN,2005-03,1841862,vieja,0,0
QUINTANA ROO,2005-03,1124410,vieja,15,16.00839551
SAN LUIS POTOSÍ,2005-03,2473365,vieja,16,7.762703847
SINALOA,2005-03,2681900,vieja,40,17.89775905
SONORA,2005-03,2491315,vieja,24,11.56016
TABASCO,2005-03,2113264,vieja,5,2.839209867
AGUASCALIENTES,2005-03,1092506,vieja,5,5.491960685
BAJA CALIFORNIA,2005-03,2895990,vieja,36,14.91717858
BAJA CALIFORNIA SUR,2005-03,542363,vieja,3,6.637620929
CAMPECHE,2005-03,764728,vieja,1,1.569185384
ZACATECAS,2005-03,1436156,vieja,7,5.848946772
JALISCO,2005-04,6890116,vieja,39,6.792338474
MÉXICO,2005-04,14190942,vieja,189,15.98202572
MICHOACÁN,2005-04,4231746,vieja,35,9.92498132
MORELOS,2005-04,1678949,vieja,11,7.862061325
NAYARIT,2005-04,995149,vieja,3,3.617548729
DURANGO,2005-04,1563807,vieja,19,14.57980429
