state,date,population,metodology,count,rate
ZACATECAS,1997-03,1428256,vieja,10,8.40185513
JALISCO,1997-04,6327032,vieja,40,7.586495532
MÉXICO,1997-04,12108544,vieja,248,24.57768663
MICHOACÁN,1997-04,4150589,vieja,61,17.63605117
MORELOS,1997-04,1548114,vieja,11,8.526503862
NAYARIT,1997-04,917035,vieja,10,13.08565104
DURANGO,1997-04,1471272,vieja,4,3.262483076
GUANAJUATO,1997-04,5026932,vieja,32,7.638854076
GUERRERO,1997-04,3185387,vieja,93,35.03498947
HIDALGO,1997-04,2340618,vieja,32,16.40592356
COAHUILA,1997-04,2269728,vieja,14,7.401767965
COLIMA,1997-04,530795,vieja,9,20.34683823
CHIAPAS,1997-04,3892708,vieja,100,30.82686911
CHIHUAHUA,1997-04,2801184,vieja,57,24.418246
CIUDAD DE MÉXICO,1997-04,8891913,vieja,68,9.176877911
NUEVO LEÓN,1997-04,3723221,vieja,12,3.867618925
OAXACA,1997-04,3591252,vieja,130,43.43888984
PUEBLA,1997-04,5030078,vieja,61,14.55245823
QUERÉTARO,1997-04,1460139,vieja,0,0
TAMAULIPAS,1997-04,2606329,vieja,37,17.03545485
TLAXCALA,1997-04,950476,vieja,5,6.312626516
VERACRUZ,1997-04,7119926,vieja,65,10.95517004
YUCATÁN,1997-04,1637532,vieja,2,1.465620214
QUINTANA ROO,1997-04,818940,vieja,21,30.77148509
SAN LUIS POTOSÍ,1997-04,2350231,vieja,17,8.679997839
SINALOA,1997-04,2446138,vieja,53,26.00016843
SONORA,1997-04,2153254,vieja,40,22.29184295
TABASCO,1997-04,1877085,vieja,34,21.73582976
AGUASCALIENTES,1997-04,954454,vieja,58,72.92127227
BAJA CALIFORNIA,1997-04,2292734,vieja,37,19.36552605
BAJA CALIFORNIA SUR,1997-04,424473,vieja,4,11.30813974
CAMPECHE,1997-04,656984,vieja,5,9.1326425
ZACATECAS,1997-04,1428184,vieja,11,9.242506568
JALISCO,1997-05,6332663,vieja,46,8.716712069
MÉXICO,1997-05,12131700,vieja,269,26.60797745
MICHOACÁN,1997-05,4151572,vieja,61,17.63187535
MORELOS,1997-05,1549539,vieja,13,10.0675104
NAYARIT,1997-05,917662,vieja,17,22.23040727
DURANGO,1997-05,1472117,vieja,4,3.2606104
GUANAJUATO,1997-05,5030602,vieja,40,9.541601582
GUERRERO,1997-05,3186910,vieja,91,34.26516594
HIDALGO,1997-05,2342027,vieja,37,18.95793686
COAHUILA,1997-05,2272998,vieja,10,5.279371121
COLIMA,1997-05,531380,vieja,7,15.80789642
CHIAPAS,1997-05,3900005,vieja,101,31.07688323
CHIHUAHUA,1997-05,2805975,vieja,50,21.38294176
CIUDAD DE MÉXICO,1997-05,8893564,vieja,78,10.52446466
NUEVO LEÓN,1997-05,3729174,vieja,15,4.826806151
OAXACA,1997-05,3593682,vieja,130,43.40951704
PUEBLA,1997-05,5036087,vieja,54,12.86713276
QUERÉTARO,1997-05,1462686,vieja,0,0
TABASCO,1997-05,1879819,vieja,26,16.59734262
TAMAULIPAS,1997-05,2610928,vieja,37,17.00544787
TLAXCALA,1997-05,952100,vieja,6,7.562230858
VERACRUZ,1997-05,7124356,vieja,64,10.77992172
YUCATÁN,1997-05,1639787,vieja,2,1.463604724
QUINTANA ROO,1997-05,822012,vieja,21,30.65648677
SAN LUIS POTOSÍ,1997-05,2351613,vieja,19,9.695472852
SINALOA,1997-05,2448725,vieja,64,31.36326047
SONORA,1997-05,2156857,vieja,46,25.59279544
AGUASCALIENTES,1997-05,955948,vieja,58,72.80730751
BAJA CALIFORNIA,1997-05,2299579,vieja,41,21.3952206
BAJA CALIFORNIA SUR,1997-05,425563,vieja,3,8.459382042
CAMPECHE,1997-05,658200,vieja,12,21.87784868
ZACATECAS,1997-05,1428111,vieja,10,8.402708193
JALISCO,1997-06,6338294,vieja,45,8.519642667
MÉXICO,1997-06,12154856,vieja,260,25.66875329
MICHOACÁN,1997-06,4152556,vieja,52,15.02688946
MORELOS,1997-06,1550963,vieja,10,7.737128481
NAYARIT,1997-06,918289,vieja,8,10.45422519
DURANGO,1997-06,1472961,vieja,3,2.444056564
GUANAJUATO,1997-06,5034272,vieja,41,9.773011867
GUERRERO,1997-06,3188433,vieja,123,46.29233231
HIDALGO,1997-06,2343436,vieja,12,6.144823242
COAHUILA,1997-06,2276268,vieja,16,8.434859164
COLIMA,1997-06,531965,vieja,14,31.58102507
CHIAPAS,1997-06,3907302,vieja,82,25.18361775
CHIHUAHUA,1997-06,2810765,vieja,45,19.21185158
CIUDAD DE MÉXICO,1997-06,8895216,vieja,69,9.308374299
NUEVO LEÓN,1997-06,3735127,vieja,11,3.53401638
OAXACA,1997-06,3596113,vieja,129,43.04647824
PUEBLA,1997-06,5042096,vieja,56,13.32779066
QUERÉTARO,1997-06,1465233,vieja,0,0
TABASCO,1997-06,1882554,vieja,31,19.76038934
TAMAULIPAS,1997-06,2615528,vieja,37,16.97553993
TLAXCALA,1997-06,953724,vieja,5,6.291128251
VERACRUZ,1997-06,7128785,vieja,56,9.426571288
YUCATÁN,1997-06,1642042,vieja,47,34.3474771
QUINTANA ROO,1997-06,825084,vieja,16,23.27035793
SAN LUIS POTOSÍ,1997-06,2352995,vieja,12,6.119860008
SINALOA,1997-06,2451312,vieja,56,27.41389101
SONORA,1997-06,2160460,vieja,37,20.55117892
AGUASCALIENTES,1997-06,957443,vieja,58,72.69362249
BAJA CALIFORNIA,1997-06,2306424,vieja,42,21.85200986
BAJA CALIFORNIA SUR,1997-06,426653,vieja,2,5.625180182
CAMPECHE,1997-06,659417,vieja,15,27.29683948
ZACATECAS,1997-06,1428038,vieja,10,8.403137732
JALISCO,1997-07,6343554,vieja,43,8.134241468
MÉXICO,1997-07,12177291,vieja,197,19.41318476
MICHOACÁN,1997-07,4153186,vieja,55,15.89141445
MORELOS,1997-07,1552242,vieja,15,11.59612998
NAYARIT,1997-07,918868,vieja,15,19.58932077
DURANGO,1997-07,1473736,vieja,4,3.257028396
GUANAJUATO,1997-07,5037653,vieja,50,11.91030823
GUERRERO,1997-07,3189756,vieja,111,41.75867997
HIDALGO,1997-07,2344780,vieja,18,9.211951654
COAHUILA,1997-07,2279530,vieja,20,10.52848614
COLIMA,1997-07,532515,vieja,5,11.26728825
CHIAPAS,1997-07,3914554,vieja,108,33.10721988
CHIHUAHUA,1997-07,2815563,vieja,50,21.31012519
CIUDAD DE MÉXICO,1997-07,8896691,vieja,76,10.25100231
NUEVO LEÓN,1997-07,3741092,vieja,7,2.245333715
OAXACA,1997-07,3598393,vieja,2,0.666964392
PUEBLA,1997-07,5048021,vieja,64,15.21388283
QUERÉTARO,1997-07,1467748,vieja,78,63.77116508
TABASCO,1997-07,1885224,vieja,34,21.64199055
TAMAULIPAS,1997-07,2620213,vieja,38,17.40316532
TLAXCALA,1997-07,955337,vieja,2,2.5122025
VERACRUZ,1997-07,7132539,vieja,65,10.9357972
YUCATÁN,1997-07,1644262,vieja,0,0
QUINTANA ROO,1997-07,828195,vieja,42,60.85523337
SAN LUIS POTOSÍ,1997-07,2354219,vieja,35,17.84031137
SINALOA,1997-07,2453807,vieja,47,22.98469277
SONORA,1997-07,2164051,vieja,33,18.29901421
AGUASCALIENTES,1997-07,958901,vieja,1,1.25143263
BAJA CALIFORNIA,1997-07,2313193,vieja,38,19.71301141
BAJA CALIFORNIA SUR,1997-07,427758,vieja,1,2.805324506
CAMPECHE,1997-07,660605,vieja,16,29.06426685
ZACATECAS,1997-07,1427863,vieja,4,3.361667051
JALISCO,1997-08,6348814,vieja,52,9.828607359
MÉXICO,1997-08,12199726,vieja,267,26.26288492
MICHOACÁN,1997-08,4153817,vieja,52,15.02232766
MORELOS,1997-08,1553520,vieja,7,5.407075545
DURANGO,1997-08,1474511,vieja,4,3.255316508
GUANAJUATO,1997-08,5041035,vieja,46,10.95013226
GUERRERO,1997-08,3191078,vieja,101,37.98089548
HIDALGO,1997-08,2346123,vieja,13,6.649267749
COAHUILA,1997-08,2282792,vieja,15,7.885081076
COLIMA,1997-08,533064,vieja,13,29.26477871
CHIAPAS,1997-08,3921806,vieja,24,7.343555495
CHIHUAHUA,1997-08,2820362,vieja,46,19.57195566
CIUDAD DE MÉXICO,1997-08,8898166,vieja,87,11.73275482
NAYARIT,1997-08,919447,vieja,8,10.44105859
NUEVO LEÓN,1997-08,3747057,vieja,18,5.764523998
OAXACA,1997-08,3600674,vieja,1,0.333270938
PUEBLA,1997-08,5053946,vieja,64,15.19604681
QUERÉTARO,1997-08,1470262,vieja,56,45.70613945
TABASCO,1997-08,1887894,vieja,26,16.52635159
TAMAULIPAS,1997-08,2624897,vieja,40,18.28643181
TLAXCALA,1997-08,956951,vieja,6,7.523896208
VERACRUZ,1997-08,7136293,vieja,57,9.584808247
YUCATÁN,1997-08,1646482,vieja,49,35.71250703
QUINTANA ROO,1997-08,831306,vieja,38,54.85344747
SAN LUIS POTOSÍ,1997-08,2355442,vieja,48,24.45400906
SINALOA,1997-08,2456302,vieja,47,22.96134596
SONORA,1997-08,2167643,vieja,62,34.32299507
AGUASCALIENTES,1997-08,960359,vieja,2,2.499065454
BAJA CALIFORNIA,1997-08,2319962,vieja,48,24.82799287
BAJA CALIFORNIA SUR,1997-08,428863,vieja,8,22.38477089
CAMPECHE,1997-08,661793,vieja,11,19.94581387
ZACATECAS,1997-08,1427689,vieja,9,7.564672698
JALISCO,1997-09,6354073,vieja,54,10.19818312
MÉXICO,1997-09,12222161,vieja,278,27.29468218
MICHOACÁN,1997-09,4154447,vieja,57,16.46428514
MORELOS,1997-09,1554799,vieja,11,8.489843382
CIUDAD DE MÉXICO,1997-09,8899640,vieja,95,12.8095069
DURANGO,1997-09,1475286,vieja,5,4.067008024
GUANAJUATO,1997-09,5044416,vieja,67,15.93841586
GUERRERO,1997-09,3192400,vieja,85,31.95088335
HIDALGO,1997-09,2347466,vieja,29,14.82449586
COAHUILA,1997-09,2286054,vieja,12,6.299063802
COLIMA,1997-09,533614,vieja,6,13.49289936
CHIAPAS,1997-09,3929058,vieja,141,43.06375727
CHIHUAHUA,1997-09,2825160,vieja,57,24.21101814
NAYARIT,1997-09,920026,vieja,6,7.825865791
NUEVO LEÓN,1997-09,3753022,vieja,12,3.836907964
OAXACA,1997-09,3602954,vieja,2,0.666120078
PUEBLA,1997-09,5059872,vieja,62,14.70392927
QUERÉTARO,1997-09,1472777,vieja,6,4.888723819
TABASCO,1997-09,1890563,vieja,28,17.77248365
TAMAULIPAS,1997-09,2629582,vieja,42,19.16654434
TLAXCALA,1997-09,958564,vieja,5,6.259362964
VERACRUZ,1997-09,7140048,vieja,53,8.907503143
YUCATÁN,1997-09,1648702,vieja,1,0.727845299
QUINTANA ROO,1997-09,834418,vieja,35,50.33448463
SAN LUIS POTOSÍ,1997-09,2356666,vieja,10,5.091939206
SINALOA,1997-09,2458796,vieja,59,28.79458076
SONORA,1997-09,2171234,vieja,43,23.76528739
AGUASCALIENTES,1997-09,961817,vieja,2,2.495277168
BAJA CALIFORNIA,1997-09,2326730,vieja,49,25.2715184
BAJA CALIFORNIA SUR,1997-09,429968,vieja,5,13.95452685
CAMPECHE,1997-09,662981,vieja,5,9.050033108
ZACATECAS,1997-09,1427514,vieja,7,5.8843556
JALISCO,1997-10,6359333,vieja,51,9.623650782
MÉXICO,1997-10,12244596,vieja,254,24.89261385
MICHOACÁN,1997-10,4155078,vieja,67,19.34981726
MORELOS,1997-10,1556077,vieja,13,10.02521083
CIUDAD DE MÉXICO,1997-10,8901115,vieja,78,10.51553654
DURANGO,1997-10,1476060,vieja,11,8.942725905
GUANAJUATO,1997-10,5047798,vieja,58,13.78819041
GUERRERO,1997-10,3193723,vieja,134,50.34876224
HIDALGO,1997-10,2348810,vieja,31,15.83780723
COAHUILA,1997-10,2289316,vieja,19,9.959306623
COLIMA,1997-10,534163,vieja,5,11.2325264
CHIAPAS,1997-10,3936310,vieja,132,40.24073307
CHIHUAHUA,1997-10,2829959,vieja,54,22.89785824
NAYARIT,1997-10,920606,vieja,5,6.517446117
NUEVO LEÓN,1997-10,3758988,vieja,25,7.980871447
OAXACA,1997-10,3605234,vieja,2,0.665698815
PUEBLA,1997-10,5065797,vieja,47,11.13348995
QUERÉTARO,1997-10,1475292,vieja,19,15.45456764
TABASCO,1997-10,1893233,vieja,35,22.1842742
TAMAULIPAS,1997-10,2634267,vieja,37,16.85478351
TLAXCALA,1997-10,960177,vieja,9,11.24792616
VERACRUZ,1997-10,7143802,vieja,48,8.062933435
QUINTANA ROO,1997-10,837529,vieja,42,60.17702074
SAN LUIS POTOSÍ,1997-10,2357889,vieja,37,18.83040296
SINALOA,1997-10,2461291,vieja,59,28.76539182
SONORA,1997-10,2174826,vieja,44,24.27780429
AGUASCALIENTES,1997-10,963275,vieja,0,0
BAJA CALIFORNIA,1997-10,2333499,vieja,28,14.39897767
BAJA CALIFORNIA SUR,1997-10,431072,vieja,0,0
CAMPECHE,1997-10,664169,vieja,13,23.48799778
YUCATÁN,1997-10,1650921,vieja,1,0.726867003
ZACATECAS,1997-10,1427340,vieja,6,5.044348228
JALISCO,1997-11,6364593,vieja,51,9.615697343
MÉXICO,1997-11,12267031,vieja,222,21.71674629
MICHOACÁN,1997-11,4155708,vieja,89,25.69959198
MORELOS,1997-11,1557356,vieja,19,14.64019787
CIUDAD DE MÉXICO,1997-11,8902590,vieja,94,12.67047005
DURANGO,1997-11,1476835,vieja,7,5.687839197
GUANAJUATO,1997-11,5051179,vieja,67,15.91707599
GUERRERO,1997-11,3195046,vieja,145,54.45930982
HIDALGO,1997-11,2350154,vieja,31,15.82874995
COAHUILA,1997-11,2292578,vieja,12,6.281138526
COLIMA,1997-11,534713,vieja,11,24.68614004
CHIAPAS,1997-11,3943562,vieja,167,50.8170025
CHIHUAHUA,1997-11,2834757,vieja,52,22.01246879
NAYARIT,1997-11,921185,vieja,26,33.8694182
NUEVO LEÓN,1997-11,3764953,vieja,10,3.187290784
OAXACA,1997-11,3607515,vieja,2,0.665277899
PUEBLA,1997-11,5071722,vieja,60,14.19636171
QUERÉTARO,1997-11,1477806,vieja,15,12.18021851
TABASCO,1997-11,1895903,vieja,34,21.52008832
TAMAULIPAS,1997-11,2638951,vieja,53,24.10048538
